OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,AG46,man55,99,70.6,21.95,2021-11-10,2021-12-24
2,NW53,man78,72,70.87,13.0,2021-11-02,2022-01-03
3,TD36,man62,50,69.97,14.79,2021-11-27,2021-12-31
4,AM93,man43,11,20.05,21.45,2021-11-28,2022-01-09
5,HA97,man53,45,48.07,17.76,2021-11-08,2021-12-29
6,WM17,man49,29,56.38,18.67,2021-11-19,2022-01-09
7,DT54,man76,20,98.71,29.7,2021-12-10,2021-12-31
8,AJ48,man24,85,41.74,10.93,2021-10-23,2021-12-15
9,JQ29,man53,12,58.73,27.08,2021-10-26,2022-01-06
10,SP09,man06,95,32.29,23.62,2021-10-31,2022-01-07
11,CY70,man90,96,67.93,20.21,2021-11-07,2021-12-21
12,TQ70,man20,96,39.02,18.47,2021-12-01,2022-01-10
13,LW24,man85,98,69.8,20.14,2021-11-18,2022-01-01
14,MX60,man19,27,38.55,25.06,2021-11-10,2021-12-22
15,VS71,man55,39,64.08,21.17,2021-11-10,2022-01-06
16,YZ14,man47,45,64.72,14.89,2021-11-24,2022-01-09
17,BX25,man21,27,94.52,25.53,2021-11-24,2021-12-31
18,UM25,man40,27,37.43,10.0,2021-10-26,2021-12-26
19,NT93,man45,100,73.36,28.58,2021-12-14,2021-12-29
20,DW05,man31,66,27.27,10.21,2021-11-18,2021-12-30
21,LM09,man14,15,63.57,19.6,2021-10-25,2021-12-23
22,UZ87,man81,10,51.61,21.3,2021-10-15,2022-01-01
23,ZK22,man21,77,76.14,18.21,2021-12-08,2021-12-16
24,TR68,man41,16,43.55,25.53,2021-10-22,2022-01-10
25,SF93,man87,65,49.11,12.29,2021-10-27,2021-12-29
26,GX09,man63,46,81.24,15.71,2021-12-11,2021-12-28
27,WY85,man31,58,53.45,28.26,2021-10-15,2021-12-28
28,GX28,man31,64,58.31,29.58,2021-10-20,2021-12-29
29,ZQ13,man47,22,56.42,25.28,2021-12-04,2021-12-20
30,DI32,man76,49,56.92,24.96,2021-11-20,2021-12-16
31,IV15,man93,46,81.92,22.86,2021-11-23,2022-01-02
32,WO91,man75,22,35.88,11.52,2021-10-25,2021-12-23
33,OZ72,man36,59,71.28,17.72,2021-12-13,2021-12-21
34,XW64,man92,44,23.9,20.32,2021-11-21,2022-01-08
35,ED67,man09,49,57.95,16.3,2021-11-23,2021-12-17
36,TP74,man77,12,88.25,23.69,2021-11-15,2022-01-04
37,AG29,man06,2,57.07,11.08,2021-11-18,2021-12-19
38,RL39,man54,77,99.84,24.28,2021-12-09,2022-01-13
39,PX80,man57,97,99.65,28.85,2021-11-04,2022-01-08
40,WI22,man63,80,44.55,12.25,2021-12-14,2021-12-19
41,AZ40,man73,79,53.43,23.76,2021-11-28,2021-12-17
42,MY86,man76,19,67.86,18.56,2021-10-17,2021-12-16
43,KG27,man17,46,38.33,11.85,2021-11-29,2021-12-22
44,EB53,man66,27,78.83,23.59,2021-11-24,2022-01-09
45,YH72,man17,55,71.96,18.38,2021-12-12,2021-12-30
46,YX18,man19,2,53.84,15.24,2021-11-12,2021-12-15
47,JL96,man86,56,54.02,22.33,2021-10-15,2021-12-14
48,MH01,man60,7,98.13,10.73,2021-11-29,2022-01-01
49,KI06,man92,28,21.34,23.46,2021-12-04,2022-01-02
50,IK18,man77,72,90.88,14.42,2021-11-26,2022-01-10
51,MC26,man37,53,33.79,11.92,2021-12-06,2021-12-31
52,PN72,man34,58,79.96,25.18,2021-11-30,2021-12-19
53,AY54,man22,62,94.49,13.94,2021-12-01,2022-01-01
54,MW18,man40,24,62.91,12.08,2021-11-19,2022-01-13
55,PO57,man67,63,50.34,15.47,2021-11-05,2021-12-22
56,IJ68,man60,4,22.41,13.76,2021-10-24,2021-12-22
57,PW27,man04,34,33.81,18.42,2021-10-18,2021-12-29
58,LG26,man76,1,98.21,17.34,2021-10-28,2022-01-02
59,SU68,man78,14,39.32,26.77,2021-11-16,2021-12-15
60,XT65,man93,57,68.93,22.06,2021-10-18,2021-12-25
61,CJ60,man71,98,58.12,24.33,2021-10-25,2022-01-12
